site_id,site_name,basins,site_number,elev,sec,twp,rng,config,former association,county,quad_map,ownership,status,record,state,longitude,latitude,aws url string
895,Chocolate Gulch,"Big Wood, Wood and Lost, Central",14F19S,6440,15,5N,17E,SNTL,Big Wood,Blaine,Amber Lakes,Sawtooth NF,A,-93,ID,-114.4181,43.7685,Chocolate%20Gulch
1204,Columbia Basin,Owyhee,,6483,,,,SNTL,,,,,,,NV,,,Columbia%20Basin
411,Cool Creek,Clearwater,15C16S,6280,35,40N,9E,SNTL,North Fork Clearwater,Clearwater,Elizabeth Lake,Clearwater NF,A,-85,ID,-115.2957,46.7636,Cool%20Creek
419,Cottonwood Creek,Snake Above Palisades,,7670,,,,SNTL,,,,,,,WY,,,Cottonwood%20Creek
1306,Couch Summit,"Big Wood, Boise, West Central, Wood and Lost, Central",,6776,,,,SNTL,,,,,,,ID,-114.802179,43.517577,Couch%20Summit
423,Cozy Cove,"Payette, West Central, Central",15E08S,5380,17,11N,7E,SNTL,Deadwood,Valley,Deadwood Reservoir,Boise NF,A,-81,ID,-115.6553,44.2878,Cozy%20Cove
424,Crab Creek,"Birch, Wood and Lost, Central",11E37S,6860,21,13N,38E,SNTL,Camas-Beaver,Clark,Kilgore,Targhee NF,A,-82,ID,-111.9935,44.4367,Crab%20Creek
425,Crater Meadows,Clearwater,15C09S,5960,11,37N,9E,SNTL,North Fork Clearwater,Clearwater,Cook Mountain,Clearwater NF,A,-85,ID,-115.2885,46.5632,Crater%20Meadows
439,Deadwood Summit,"Payette, Salmon, West Central, Central",15E04S,6860,13,14N,7E,SNTL,Deadwood,Valley,Tyndall Meadows,Boise NF,A,-81,ID,-115.563,44.5448,Deadwood%20Summit
450,Dollarhide Summit,"Boise, Big Wood, Wood and Lost, West Central, Central",14F08S,8420,9,3N,15E,SNTL,Big Wood,Blaine,Dollarhide Mountain,Sawtooth NF,A,-82,ID,-114.6746,43.6023,Dollarhide%20Summit
460,East Rim Divide,Snake Above Palisades,,7930,,,,SNTL,,,,,,,WY,,,East%20Rim%20Divide
466,Elk Butte,Clearwater,16C20S,5690,6,40N,3E,SNTL,North Fork Clearwater,Clearwater,Elk Butte,Clearwater NF,A,-83,ID,-116.1223,46.84,Elk%20Butte
471,Emigrant Summit,Bear,11G06S,7390,21,12S,42E,SNTL,Bear,Bear Lake,Midnight Mountain,Caribou NF,A,-82,ID,-111.5609,42.3606,Emigrant%20Summit
476,Fawn Creek,Owyhee,,7031,,,,SNTL,,,,,,,NV,,,Fawn%20Creek
1305,Fish Ck,"Little Wood, Big Lost, Wood and Lost, Central",,6479,,,,SNTL,,,,,,,ID,-113.71928,43.555482,Fish%20Ck
484,Franklin Basin,Bear,11G32S,8170,7,16S,42E,SNTL,Cub,Franklin,Egan Basin,"Cache NF, admin. by Caribou NF",A,-82,ID,-111.6033,42.0511,Franklin%20Basin
1262,Fry Canyon,Owyhee,,6798,,,,SNTL,,,,,,,NV,,,Fry%20Canyon
489,Galena,"Big Wood, Salmon, Wood and Lost, Central",14F17S,7470,4,6N,15E,SNTL,Big Wood,Blaine,Horton Peak,Sawtooth NRA,A,-83,ID,-114.6727,43.878,Galena
490,Galena Summit,"Big Wood, Salmon, Wood and Lost, Central",14F12S,8780,7,6N,15E,SNTL,Big Wood,Blaine,Horton Peak,Sawtooth NRA,A,-82,ID,-114.7136,43.875,Galena%20Summit
1114,Garden City Summit,Bear,,7705,,,,SNTL,,,,,,,UT,,,Garden%20City%20Summit
492,Garfield R.S.,"Little Wood, Wood and Lost, Central",13F04S,6560,11,3N,21E,SNTL,Little Wood,Blaine,Muldoon,Sawtooth NF,A,-82,ID,-113.9308,43.6104,Garfield%20R.S.
918,Garver Creek,Pend Oreille-Kootenai,,4250,,,,SNTL,,,,,,,MT,,,Garver%20Creek
1151,George Creek,Raft,,8964,,,,SNTL,,,,,,,UT,,,George%20Creek
493,Giveout,Bear,11G33S,6930,2,12S,45E,SNTL,Montpelier,Bear Lake,Meade Peak,Caribou NF,A,-82,ID,-111.1663,42.4132,Giveout
496,Graham Guard Sta.,"Boise, West Central, Central",15F14S,5690,9,7N,10E,SNTL,North Fork Boise,Elmore,Swanholm Peak,Boise NF,A,-81,ID,-115.2739,43.9538,Graham%20Guard%20Sta.
497,Granite Creek,Snake Above Palisades,,6770,,,,SNTL,,,,,,,WY,,,Granite%20Creek
499,Grassy Lake,"Snake Above Palisades, Snake Above Jackson Lake, Henrys Fork-Teton",,7265,,,,SNTL,,,,,,,WY,,,Grassy%20Lake
506,Gros Ventre Summit,Snake Above Palisades,,8750,,,,SNTL,,,,,,,WY,,,Gros%20Ventre%20Summit
944,Gunsight Pass,Snake Above Palisades,,9820,,,,SNTL,,,,,,,WY,,,Gunsight%20Pass
516,Hawkins Lake,Pend Oreille-Kootenai,,6450,,,,SNTL,,,,,,,MT,,,Hawkins%20Lake
517,Hayden Fork,Bear,,9130,,,,SNTL,,,,,,,UT,,,Hayden%20Fork
520,Hemlock Butte,Clearwater,15C06S,5810,7,36N,7E,SNTL,North Fork Clearwater,Clearwater,Hemlock Butte,Clearwater NF,A,-84,ID,-115.6337,46.481,Hemlock%20Butte
988,Hidden Lake,Pend Oreille-Kootenai,16A12S,5040,17,64N,3W,SNTL,Kootenai,Boundary,Grass Mountain,Kaniksu NF,A,0,ID,-116.7575,48.8937,Hidden%20Lake
